WORT,WORTART,NOMEN,VERB_ADJEKTIV,VA INTERPUNKTION
kerbe,N,0,0,0
kerker,N,0,0,0
kerze,N,0,0,0
kette,N,0,0,0
ketzer,N,0,0,0
keule,N,0,0,0
kichern,V,0,0,0
kiefer,N,0,0,0
kiesel,N,0,0,0
killer,N,0,0,0
kind,N,0,0,0
kiosk,N,0,0,0
kirche,N,0,0,0
kirsche,N,0,0,0
kissen,N,0,0,0
kiste,N,0,0,0
kitsch,N,0,0,0
klage,N,0,0,0
klang,N,0,0,0
klären,V,0,0,0
klarheit,N,0,0,0
klasse,N,0,0,0
klassik,N,0,0,0
klaue,N,0,0,0
klauen,V,0,0,0
klavier,N,0,0,0
klee,N,0,0,0
klette,N,0,0,0
klient,N,0,0,0
klima,N,1,0,0
klinge,N,0,0,0
klingel,N,0,0,0
klinik,N,0,0,0
klinke,N,0,0,0
klippe,N,0,0,0
klischee,N,0,0,0
kloster,N,0,0,0
klugheit,N,0,0,0
knabe,N,0,0,0
knausern,V,0,0,0
knebel,N,0,0,0
knebeln,V,0,0,0
kneipe,N,0,0,0
knochen,N,0,0,0
knospe,N,0,0,0
koalition,N,0,0,0
kobold,N,0,0,0
kobra,N,0,0,0
koffer,N,0,0,0
kohle,N,0,0,0
kohlrabi,N,0,0,0
kollaps,N,0,0,0
kollege,N,0,0,0
kollektiv,N,0,0,0
komet,N,0,0,0
komfort,N,0,0,0
komik,N,0,0,0
komisch,A,0,0,0
komitee,N,0,0,0
komma,N,0,0,0
kommen,V,0,0,0
kommission,N,0,0,0
kommode,N,0,0,0
kommunist,N,0,0,0
kompass,N,0,0,0
komplize,N,0,0,0
komplott,N,0,0,0
kondom,N,0,0,0
konflikt,N,0,0,0
konkurrenz,N,1,0,0
konkurs,N,0,0,0
können,V,0,7,0
konsequenz,N,0,0,0
kontakt,N,0,0,0
konto,N,0,0,0
kontrolle,N,0,0,0
konzert,N,0,0,0
kopflos,A,0,0,0
kopie,N,0,0,0
koran,N,0,0,0
korb,N,0,0,0
korrupt,A,0,0,0
kosmetik,N,0,0,0
kosten,V,0,0,0
kraft,N,2,0,0
kraftlos,A,0,0,0
kralle,N,0,0,0
krank,A,0,0,0
krankheit,N,0,0,0
kranz,N,0,0,0
krawatte,N,0,0,0
kreativ,A,0,0,0
kredit,N,0,0,0
kreide,N,0,0,0
kreis,N,1,0,0
kreisel,N,0,0,0
kreuz,N,0,0,0
krieg,N,0,0,0
kriegen,V,0,0,0
krimi,N,0,0,0
krise,N,0,0,0
kritik,N,1,0,0
krokodil,N,0,0,0
krokus,N,0,0,0
krone,N,0,0,0
krücke,N,0,0,0
kruzifix,N,0,0,0
kuchen,N,0,0,0
kugel,N,0,0,0
kuhle,N,0,0,0
küken,N,0,0,0
kult,N,0,0,0
kultur,N,0,0,0
kummer,N,0,0,0
kümmern,V,0,0,0
kumpan,N,0,0,0
kunde,N,0,0,0
kündigen,V,0,0,0
kunst,N,0,0,0
künstler,N,0,0,0
kupfer,N,1,0,0
kuppe,N,0,0,0
kürbis,N,0,0,0
kurort,N,0,0,0
kurve,N,0,0,0
küssen,V,0,0,0
küste,N,1,0,0
kutsche,N,0,0,0
labil,A,0,0,0
labor,N,0,0,0
lächeln,V,0,0,0
lachen,V,0,0,0
ladung,N,0,0,0
lage,N,0,0,0
lager,N,0,0,0
laken,N,0,0,0
lampe,N,0,0,0
landschaft,N,0,0,0
lanze,N,0,0,0
larve,N,0,0,0
last,N,0,0,0
laster,N,0,0,0
latein,N,0,0,0
laterne,N,0,0,0
laube,N,0,0,0
lauer,N,0,0,0
laufbahn,N,0,0,0
laufen,V,0,0,0
lauge,N,0,0,0
laune,N,0,0,0
launisch,A,0,0,0
laut,A,0,0,0
lawine,N,0,0,0
leben,N,0,0,0
lebendig,A,0,0,0
leblos,A,0,0,0
leder,N,0,0,0
leere,N,0,0,0
legen,V,0,0,0
lehre,N,0,0,0
lehrer,N,0,0,0
lehrerin,N,0,0,0
lehrhaft,A,0,0,0
lehrjahr,N,0,0,0
lehrling,N,0,0,0
lehrzeit,N,0,0,0
leib,N,0,0,0
leiche,N,0,0,0
leichnam,N,0,0,0
leichte,N,0,0,0
leid,N,0,0,0
leiden,V,0,1,0
leiern,V,0,0,0
leim,N,0,0,0
leine,N,0,0,0
leinwand,N,0,0,0
leisten,V,0,0,0
leistung,N,0,0,0
leitbild,N,0,0,0
leiter,N,0,0,0
leittier,N,0,0,0
lektion,N,0,0,0
lende,N,0,0,0
lenkbar,A,0,0,0
lenken,V,0,0,0
lenker,N,0,0,0
lenkrad,N,0,0,0
lenkung,N,0,0,0
lenz,N,0,0,0
leopard,N,0,0,0
lepra,N,0,0,0
lerche,N,0,0,0
lernbar,A,0,0,0
lernen,V,0,1,0
lesebuch,N,0,0,0
leser,N,0,0,0
lesesaal,N,0,0,0
lesung,N,0,0,0
letzte,A,0,0,0
leuchte,N,0,0,0
leuchten,V,0,0,0
leugnen,V,0,0,0
leugnung,N,0,0,0
leumund,N,0,0,0
leute,N,0,0,0
lexikon,N,0,0,0
liaison,N,0,0,0
libelle,N,0,0,0
liberal,A,0,0,0
licht,N,0,0,0
lichtung,N,0,0,0
lid,N,0,0,0
lieb,A,0,0,0
liebe,N,0,0,0
liebelei,N,0,0,0
lieben,V,0,0,0
lieblos,A,0,0,0
liebreiz,N,0,0,0
lied,N,0,0,0
liefern,V,0,0,0
liege,N,0,0,0
liegen,V,0,0,0
lift,N,0,0,0
lilie,N,0,0,0
limit,N,0,0,0
limonade,N,0,0,0
linde,N,0,0,0
lindern,V,0,0,0
lineal,N,0,0,0
linie,N,0,0,0
linse,N,0,0,0
lippe,N,0,0,0
liquide,A,0,0,0
list,N,0,0,0
liste,N,0,0,0
listig,A,0,0,0
litanei,N,0,0,0
liter,N,0,0,0
literatur,N,0,0,0
lizenz,N,0,0,0
lob,N,0,0,0
lobby,N,0,0,0
loben,V,0,0,0
loblied,N,0,0,0
loch,N,2,0,0
locher,N,0,0,0
locken,V,0,0,0
lodern,V,0,0,0
löffel,N,0,0,0
logik,N,0,0,0
logisch,A,0,0,0
lohn,N,0,0,0
lorbeer,N,0,0,0
lösen,V,0,0,0
lossagen,V,0,0,0
losung,N,0,0,0
lösung,N,0,0,0
lotse,N,0,0,0
lotterie,N,0,0,0
lotto,N,0,0,0
lotus,N,0,0,0
löwe,N,0,0,0
loyal,A,0,0,0
luder,N,0,0,0
luft,N,0,0,0
luftloch,N,0,0,0
luftraum,N,0,0,0
lug,N,0,0,0
lüge,N,0,0,0
lukrativ,A,0,0,0
lump,N,0,0,0
lunge,N,0,0,0
lupe,N,0,0,0
lust,N,0,0,0
lustlos,A,0,0,0
lutschen,V,0,0,0
lutscher,N,0,0,0
luxus,N,0,0,0
lynchen,V,0,0,0
lyrik,N,0,0,0
machen,V,0,2,0
macher,N,0,0,0
macht,N,1,0,0
machtlos,A,0,0,0
mädchen,N,0,0,0
madeira,N,0,0,0
madonna,N,0,0,0
mafia,N,0,0,0
magazin,N,0,0,0
magd,N,0,0,0
magen,N,0,0,0
mager,A,0,0,0
magie,N,0,0,0
magier,N,0,0,0
magisch,A,0,0,0
magma,N,0,0,0
magnet,N,0,0,0
mahl,N,0,0,0
mahlzeit,N,0,0,0
mahnen,V,0,0,0
mahnmal,N,0,0,0
mahnung,N,0,0,0
mai,N,0,0,0
maibaum,N,0,0,0
mais,N,0,0,0
makaber,A,0,0,0
makel,N,0,0,0
makellos,A,0,0,0
makler,N,0,0,0
malaria,N,0,0,0
maler,N,0,0,0
malerei,N,0,0,0
mama,N,0,0,0
manager,N,2,0,0
manege,N,0,0,0
mangel,N,0,0,0
mango,N,0,0,0
manie,N,0,0,0
manko,N,0,0,0
mann,N,0,0,0
mannschaft,N,0,0,0
mantel,N,0,0,0
manuell,A,0,0,0
mappe,N,0,0,0
markant,A,0,0,0
marke,N,0,0,0
markt,N,1,0,0
marotte,N,0,0,0
marter,N,0,0,0
martern,V,0,0,0
marxist,N,0,0,0
masche,N,0,0,0
maske,N,0,0,0
massage,N,0,0,0
massaker,N,0,0,0
masse,N,0,0,0
massiv,A,0,0,0
maßnahme,N,0,0,0
matratze,N,0,0,0
matt,A,0,0,0
matte,N,0,0,0
mauer,N,0,0,0
maul,N,0,0,0
maulen,V,0,0,0
maulkorb,N,0,0,0
maus,N,0,0,0
mausgrau,A,0,0,0
maximal,A,0,0,0
maximum,N,0,0,0
mechanik,N,0,0,0
medaille,N,0,0,0
medizin,N,0,0,0
meer,N,0,0,0
mehrheit,N,0,0,0
meiden,V,0,0,0
meineid,N,0,0,0
meinen,V,0,0,0
meinung,N,0,0,0
meise,N,0,0,0
meister,N,0,0,0
meistern,V,0,0,0
melden,V,0,1,0
melodie,N,0,0,0
melodram,N,0,0,0
melone,N,0,0,0
menge,N,0,0,0
mensa,N,0,0,0
mensch,N,0,0,0
menschheit,N,3,0,0
mentor,N,0,0,0
mephisto,N,0,0,0
merkmal,N,0,0,0
messer,N,0,0,0
metall,N,0,0,0
meter,N,0,0,0
metzger,N,0,0,0
meute,N,0,0,0
meuterei,N,0,0,0
meutern,V,0,0,0
mickrig,A,0,0,0
miene,N,0,0,0
mies,A,0,0,0
miete,N,0,0,0
mieten,V,0,0,0
mieter,N,0,0,0
mietzins,N,0,0,0
mikado,N,0,0,0
mikrofon,N,0,0,0
milch,N,0,0,0
milchbar,N,0,0,0
mild,A,0,0,0
milieu,N,0,0,0
militant,A,0,0,0
miliz,N,0,0,0
million,N,0,0,0
mimik,N,0,0,0
mimose,N,0,0,0
minder,V,0,0,0
mine,N,0,0,0
minigolf,N,0,0,0
minimal,A,0,0,0
minimum,N,0,0,0
minirock,N,0,0,0
minister,N,0,0,0
minus,N,0,0,0
minute,N,0,0,0
mirakel,N,0,0,0
mischehe,N,0,0,0
missetat,N,0,0,0
mission,N,0,0,0
mist,N,0,0,0
mitgeben,V,0,0,0
mitgift,N,0,0,0
mitglied,N,0,0,0
mitleid,N,0,0,0
mittag,N,0,0,0
mitte,N,3,0,0
mittel,N,0,0,0
mode,N,0,0,0
moder,N,0,0,0
modern,V,0,0,0
mogeln,V,0,0,0
mögen,V,0,0,0
mohn,N,0,0,0
mohr,N,0,0,0
möhre,N,0,0,0
mokka,N,0,0,0
molch,N,0,0,0
moll,N,0,0,0
mollig,A,0,0,0
monarch,N,0,0,0
monat,N,1,0,0
mond,N,0,0,0
mondlos,A,0,0,0
monogam,A,0,0,0
monolog,N,0,0,0
monopol,N,0,0,0
monoton,A,0,0,0
monstrum,N,0,0,0
moor,N,0,0,0
moorbad,N,0,0,0
moos,N,0,0,0
moped,N,0,0,0
moral,N,0,0,0
moralist,N,0,0,0
morast,N,0,0,0
mord,N,0,0,0
morden,V,0,0,0
mordfall,N,0,0,0
mordtat,N,0,0,0
morphem,N,0,0,0
morsch,A,0,0,0
mörser,N,0,0,0
moskito,N,0,0,0
motiv,N,0,0,0
motor,N,0,0,0
motorrad,N,0,0,0
motte,N,0,0,0
motto,N,0,0,0
möwe,N,0,0,0
muffig,A,0,0,0
mühe,N,0,0,0
mumie,N,0,0,0
mundraub,N,0,0,0
munition,N,0,0,0
munkeln,V,0,0,0
munter,A,0,0,0
murmel,N,0,0,0
murren,V,0,0,0
muschel,N,0,0,0
musical,N,0,0,0
musik,N,0,0,0
musikbox,N,0,0,0
musiker,N,0,0,0
muskel,N,0,0,0
müssen,V,0,4,0
mustern,V,0,0,0
mut,N,0,0,0
mutation,N,0,0,0
mutig,A,0,0,0
mutlos,A,0,0,0
mutter,N,0,0,0
mutti,N,0,0,0
mystik,N,0,0,0
mystisch,A,0,0,0
mythos,N,0,0,0
nabel,N,0,0,0
nachbar,N,0,0,0
nachfolger,N,0,0,0
nachmittag,N,0,0,0
nachrede,N,0,0,0
nachricht,N,1,0,0
nachruf,N,0,0,0
nacht,N,0,0,0
nachteil,N,0,0,0
nachweisen,V,0,0,0
nackt,A,0,0,0
nadel,N,0,0,0
nagel,N,0,0,0
nah,A,0,0,0
nähe,N,0,0,0
nahrung,N,0,0,0
naiv,A,0,0,0
name,N,0,0,0
namenlos,A,0,0,0
namhaft,A,0,0,0
narbe,N,0,0,0
narbig,A,0,0,0
narkose,N,0,0,0
narr,N,0,0,0
naschen,V,0,0,0
nase,N,0,0,0
national,A,0,0,0
natter,N,0,0,0
natur,N,0,0,0
nazi,N,0,0,0
nazizeit,N,0,0,0
nebel,N,0,0,0
neblig,A,0,0,0
necken,V,0,0,0
neffe,N,0,0,0
negation,N,0,0,0
negativ,A,0,1,0
neger,N,0,0,0
negerin,N,0,0,0
nehmen,V,0,0,0
neid,N,0,0,0
neidisch,A,0,0,0
neidlos,A,0,0,0
neige,N,0,0,0
neigen,V,0,0,0
neigung,N,0,0,0
nein,N,0,0,0
nelke,N,0,0,0
nennen,V,0,0,0
nett,A,0,0,0
neubau,N,0,0,0
neugier,N,0,0,0
neurose,N,0,0,0
nichte,N,0,0,0
nicken,V,0,0,0
niederlage,N,0,0,0
niedlich,A,0,0,0
niemand,A,0,0,0
niere,N,0,0,0
niete,N,0,0,0
nikotin,N,0,0,0
niveau,N,1,0,0
nonne,N,0,0,0
not,N,0,0,0
notar,N,0,0,0
note,N,0,0,0
notfall,N,0,0,0
notiz,N,0,0,0
notwehr,N,0,0,0
november,N,0,0,0
nuckel,N,0,0,0
nudel,N,0,0,0
nuklear,A,0,0,0
nutzen,V,0,0,0
oase,N,0,0,0
obhut,N,0,0,0
objekt,N,0,0,0
obst,N,0,0,0
ochse,N,0,0,0
ofen,N,0,0,0
offizier,N,0,0,0
öffnen,V,0,0,0
ohnmacht,N,0,0,0
ohrfeige,N,0,0,0
omen,N,0,0,0
onkel,N,0,0,0
oper,N,0,0,0
opfer,N,0,0,0
opfern,V,0,0,0
opium,N,0,0,0
opposition,N,0,0,0
optik,N,0,0,0
optimal,A,0,0,0
optimist,N,0,0,0
orakel,N,0,0,0
orchidee,N,0,0,0
orden,N,0,0,0
ordner,N,0,0,0
ordnung,N,0,0,0
organ,N,0,0,0
orgel,N,0,0,0
orgie,N,0,0,0
orkan,N,0,0,0
osten,N,0,0,0
osterei,N,0,0,0
ostern,N,0,0,0
ozean,N,0,0,0
paar,N,0,0,0
paddel,N,0,0,0
paket,N,0,0,0
pakt,N,0,0,0
palast,N,0,0,0
palme,N,0,0,0
panda,N,0,0,0
panik,N,0,0,0
panisch,A,0,0,0
panne,N,0,0,0
panorama,N,0,0,0
panther,N,0,0,0
panzer,N,0,0,0
papa,N,0,0,0
papagei,N,0,0,0
pappe,N,0,0,0
paprika,N,0,0,0
papst,N,0,0,0
paradies,N,0,0,0
paradox,A,0,0,0
parasit,N,0,0,0
parfum,N,0,0,0
parfüm,N,0,0,0
paris,N,0,0,0
park,N,0,0,0
parlament,N,0,0,0
parole,N,0,0,0
partei,N,0,0,0
partisan,N,0,0,0
partner,N,0,0,0
party,N,0,0,0
passion,N,0,0,0
passiv,A,0,0,0
paste,N,0,0,0
pastor,N,0,0,0
pater,N,0,0,0
patient,N,0,0,0
pause,N,0,0,0
pech,N,0,0,0
pedal,N,0,0,0
pedant,N,0,0,0
pegel,N,0,0,0
pein,N,0,0,0
peiniger,N,0,0,0
peinlich,A,0,0,0
peitsche,N,0,0,0
pelz,N,0,0,0
pendel,N,0,0,0
pensum,N,0,0,0
perfekt,A,0,0,0
perle,N,0,0,0
perser,N,0,0,0
person,N,0,0,0
pervers,A,0,0,0
pest,N,0,0,0
pfaffe,N,0,0,0
pfanne,N,0,0,0
pfarrer,N,0,0,0
pfau,N,0,0,0
pfeife,N,0,0,0
pfeil,N,0,0,0
pferd,N,0,0,0
pfiffig,A,0,0,0
pflaster,N,0,0,0
pflege,N,0,0,0
pflegen,V,0,0,0
pflicht,N,0,0,0
pfote,N,0,0,0
phase,N,0,0,0
phonem,N,0,0,0
photo,N,0,0,0
pilger,N,0,0,0
pille,N,0,0,0
pilot,N,0,0,0
pilz,N,0,0,0
pinsel,N,0,0,0
pinzette,N,0,0,0
piranha,N,0,0,0
pirat,N,0,0,0
piste,N,0,0,0
pistole,N,0,0,0
pizzeria,N,0,0,0
plage,N,0,0,0
plagen,V,0,0,0
plagiat,N,0,0,0
plakat,N,0,0,0
plan,N,0,0,0
planet,N,0,0,0
planlos,A,0,0,0
plantage,N,0,0,0
planvoll,A,0,0,0
plappern,V,0,0,0
platin,N,0,0,0
platte,N,0,0,0
platz,N,0,0,0
platzen,V,0,0,0
plaudern,V,0,0,0
pleite,A,0,0,0
po,N,0,0,0
pochen,V,0,0,0
poesie,N,0,0,0
pointe,N,0,0,0
pokal,N,0,0,0
poker,N,0,0,0
politik,N,1,0,0
polizei,N,0,0,0
polizist,N,0,0,0
polygam,A,0,0,0
pony,N,0,0,0
porree,N,0,0,0
portal,N,0,0,0
porto,N,0,0,0
portwein,N,0,0,0
positiv,A,0,1,0
potenz,N,0,0,0
pracht,N,0,0,0
prahlen,V,0,0,0
praline,N,0,0,0
pranger,N,0,0,0
pranke,N,0,0,0
präsident,N,1,0,0
präsidium,N,0,0,0
prater,N,0,0,0
predigen,V,0,0,0
preis,N,6,0,0
prellung,N,0,0,0
premiere,N,0,0,0
presse,N,0,0,0
prima,A,0,0,0
primitiv,A,0,0,0
prinzessin,N,0,0,0
privileg,N,0,0,0
probe,N,0,0,0
problem,N,1,0,0
produktion,N,1,0,0
professor,N,0,0,0
profi,N,0,0,0
profil,N,0,0,0
profit,N,0,0,0
prognose,N,1,0,0
programm,N,0,0,0
promille,N,0,0,0
prosten,V,0,0,0
protest,N,0,0,0
protzen,V,0,0,0
prozent,N,20,0,0
prunk,N,0,0,0
psyche,N,0,0,0
psychose,N,0,0,0
pudel,N,0,0,0
puder,N,0,0,0
pullover,N,0,0,0
pulver,N,1,0,0
pumpe,N,0,0,0
punkt,N,0,0,0
puppe,N,0,0,0
purpur,N,0,0,0
puste,N,0,0,0
putzen,V,0,0,0
putzig,A,0,0,0
quader,N,0,0,0
qual,N,0,0,0
qualität,N,0,0,0
quelle,N,0,0,0
quote,N,0,0,0
rabatt,N,0,0,0
rabe,N,0,0,0
rache,N,0,0,0
rachen,N,0,0,0
radar,N,0,0,0
radau,N,0,0,0
radikale,N,0,0,0
rahmen,V,0,0,0
rakete,N,0,0,0
rampe,N,0,0,0
ramsch,N,0,0,0
rasierer,N,0,0,0
rasse,N,0,0,0
rast,N,0,0,0
rasthaus,N,0,0,0
rastlos,A,0,0,0
ratlos,A,0,0,0
ratte,N,0,0,0
raub,N,0,0,0
raubtier,N,0,0,0
rauchen,V,0,0,0
raucher,N,0,0,0
raum,N,0,0,0
raupe,N,0,0,0
rausch,N,0,0,0
razzia,N,0,0,0
realität,N,0,0,0
rebell,N,0,0,0
rechen,N,0,0,0
rechnen,V,0,0,0
rechnung,N,0,0,0
rede,N,0,0,0
redner,N,0,0,0
redselig,A,0,0,0
referat,N,0,0,0
reform,N,0,0,0
regal,N,0,0,0
regel,N,0,0,0
regen,N,0,0,0
regent,N,0,0,0
regentag,N,0,0,0
regieren,V,0,0,0
regierung,N,3,0,0
regler,N,0,0,0
reglos,A,0,0,0
regnen,V,0,0,0
regung,N,0,0,0
reiberei,N,0,0,0
reich,A,0,0,0
reichen,V,0,1,0
reichtum,N,0,0,0
reife,N,0,0,0
reigen,N,0,0,0
reihe,N,0,0,0
reiher,N,0,0,0
reinfall,N,0,0,0
reinheit,N,0,0,0
reise,N,0,0,0
reisen,V,0,0,0
reißen,V,0,0,0
reiter,N,0,0,0
reiz,N,0,0,0
reizen,V,0,0,0
reizvoll,A,0,0,0
rekord,N,0,0,0
rekrut,N,0,0,0
rektor,N,0,0,0
religion,N,0,0,0
rennen,V,0,0,0
renner,N,0,0,0
rente,N,0,0,0
republik,N,0,0,0
retten,V,0,0,0
retter,N,0,0,0
reue,N,0,0,0
revier,N,0,0,0
revolution,N,0,0,0
revolver,N,0,0,0
rheuma,N,0,0,0
richten,V,0,0,0
richter,N,0,0,0
riese,N,0,0,0
rinde,N,0,0,0
ring,N,0,0,0
riskant,A,0,0,0
ritter,N,0,0,0
ritze,N,0,0,0
rivale,N,0,0,0
rivalin,N,0,0,0
robbe,N,0,0,0
robust,A,0,0,0
rock,N,0,0,0
roggen,N,0,0,0
rolle,N,1,0,0
roman,N,0,0,0
romanze,N,0,0,0
rose,N,0,0,0
rosten,V,0,0,0
rotwein,N,0,0,0
rubin,N,0,0,0
rückkehr,N,0,0,0
rücklage,N,0,0,0
rücksicht,N,0,0,0
rudel,N,0,0,0
ruder,N,0,0,0
rufen,V,0,0,0
ruhe,N,0,0,0
ruhelos,A,0,0,0
ruhig,A,0,0,0
ruhm,N,0,0,0
ruhmlos,A,0,0,0
ruin,N,0,0,0
ruine,N,0,0,0
rummel,N,0,0,0
rumoren,V,0,0,0
runde,N,0,0,0
russe,N,0,0,0
rüssel,N,0,0,0
rutsche,N,0,0,0
rutschig,A,0,0,0
sabbern,V,0,0,0
sabotage,N,0,0,0
saboteur,N,0,0,0
sache,N,0,0,0
sachlich,A,0,0,0
sadismus,N,0,0,0
safari,N,0,0,0
saftig,A,0,0,0
säge,N,0,0,0
sagen,V,0,0,0
sahne,N,0,0,0
salat,N,0,0,0
salbe,N,0,0,0
salzig,A,0,0,0
samstag,N,0,0,0
sand,N,0,0,0
sandale,N,0,0,0
sandwich,N,0,0,0
sanft,A,0,0,0
sanktion,N,0,0,0
saphir,N,0,0,0
sarg,N,0,0,0
satan,N,0,0,0
satire,N,0,0,0
satt,A,0,0,0
satz,N,0,0,0
sauber,A,0,0,0
sauer,A,0,0,0
saufen,V,0,0,0
sauna,N,0,0,0
saxophon,N,0,0,0
schabe,N,0,0,0
schaden,V,0,0,0
schaf,N,0,0,0
schaffen,N,0,0,0
schaffung,N,0,0,0
schal,N,0,0,0
schale,N,0,0,0
scham,N,0,0,0
schande,N,0,0,0
scharf,A,0,0,0
schatten,N,0,0,0
schattig,A,0,0,0
schatz,N,0,0,0
schätzen,V,0,0,0
schauder,N,0,0,0
schauer,N,0,0,0
schaukel,N,0,0,0
schaurig,A,0,0,0
scheich,N,0,0,0
scheiden,V,0,0,0
scheitern,V,0,0,0
schelm,N,0,0,0
schelte,N,0,0,0
schenken,V,0,0,0
schere,N,0,0,0
scherz,N,0,0,0
scherzen,V,0,0,0
scheu,A,0,0,0
scheusal,N,0,0,0
schicksal,N,0,0,0
schieben,V,0,0,0
schielen,V,0,0,0
schießen,V,0,0,0
schiff,N,0,0,0
schikane,N,0,0,0
schildern,V,0,0,0
schiller,N,0,0,0
schimmel,N,0,0,0
schimmer,N,0,0,0
schimpf,N,0,0,0
schinden,V,0,0,0
schirm,N,0,0,0
schlacht,N,0,0,0
schlaf,N,0,0,0
schlafen,V,0,0,0
schlaff,A,0,0,0
schlag,N,0,0,0
schlagen,V,0,1,0
schlager,N,0,0,0
schlampe,N,0,0,0
schlapp,A,0,0,0
schlau,A,0,0,0
schlecht,A,0,0,0
schleim,N,0,0,0
schlicht,A,0,0,0
schließen,V,0,0,0
schlimm,A,0,0,0
schlinge,N,0,0,0
schloss,N,0,0,0
schlucht,N,0,0,0
schmerz,N,0,0,0
schminke,N,0,0,0
schmuck,N,0,0,0
schmutz,N,0,0,0
schnaps,N,0,0,0
schnecke,N,0,0,0
schnee,N,0,0,0
schock,N,0,0,0
schocken,V,0,0,0
schonung,N,0,0,0
schrank,N,0,0,0
schraube,N,0,0,0
schreck,N,0,0,0
schrei,N,0,0,0
schreiben,V,0,0,0
schreien,V,0,0,0
schrill,A,0,0,0
schritt,N,0,0,0
schroff,N,0,0,0
schrott,N,0,0,0
schuft,N,0,0,0
schuften,V,0,0,0
schuh,N,0,0,0
schuld,N,0,0,0
schulden,V,0,0,0
schule,N,0,0,0
schurke,N,0,0,0
schürze,N,0,0,0
schutt,N,0,0,0
schütteln,V,0,0,0
schutz,N,0,0,0
schützen,V,0,0,0
schwach,A,0,0,0
schwäche,N,0,0,0
schwamm,N,0,0,0
schwan,N,0,0,0
schwarz,A,0,0,0
schweben,V,0,0,0
schweigen,V,0,0,0
schwein,N,0,0,0
schwert,N,0,0,0
schwester,N,0,0,0
schwur,N,0,0,0
see,N,0,0,0
seekrank,A,0,0,0
seele,N,0,0,0
seenot,N,0,0,0
seereise,N,0,0,0
seerose,N,0,0,0
segel,N,0,0,0
segeln,V,0,0,0
segen,N,0,0,0
segnen,V,0,0,0
sehen,V,0,0,0
seher,N,0,0,0
sehne,N,0,0,0
sehnen,V,0,0,0
seide,N,0,0,0
seife,N,0,0,0
seil,N,0,0,0
seite,N,0,0,0
sekt,N,0,0,0
sekte,N,0,0,0
seltsam,A,0,0,0
senat,N,0,0,0
senken,V,0,0,0
sense,N,0,0,0
sensibel,A,0,0,0
serbe,N,0,0,0
sessel,N,0,0,0
setzen,V,0,1,0
seuche,N,0,0,0
seufzen,V,0,0,0
sex,N,0,0,0
sichel,N,0,0,0
sicherheit,N,0,0,0
sichern,V,0,0,0
sicherung,N,0,0,0
sieb,N,0,0,0
sieben,V,0,0,0
sieg,N,0,0,0
siegel,N,0,0,0
siegen,V,0,0,0
sieger,N,0,0,0
siesta,N,0,0,0
silbe,N,0,0,0
silber,N,0,0,0
silbern,A,0,0,0
simpel,A,0,0,0
sinfonie,N,0,0,0
singen,V,0,0,0
sinken,V,0,1,0
sinn,N,1,0,0
sinnlich,A,0,0,0
sinnvoll,A,0,0,0
sintflut,N,0,0,0
sippe,N,0,0,0
sirup,N,0,0,0
sitte,N,0,0,0
sittsam,A,0,0,0
situation,N,0,0,0
situiert,A,0,0,0
sitzen,V,0,0,0
sitzung,N,0,0,0
skalpell,N,0,0,0
skandal,N,0,0,0
skat,N,0,0,0
skelett,N,0,0,0
skepsis,N,0,0,0
sklave,N,0,0,0
sklavin,N,0,0,0
skorpion,N,0,0,0
skrupel,N,0,0,0
smaragd,N,0,0,0
snob,N,0,0,0
sodom,N,0,0,0
sofa,N,0,0,0
sohle,N,0,0,0
sohn,N,0,0,0
soldat,N,0,0,0
solist,N,0,0,0
sollen,V,0,1,0
sommer,N,1,0,0
sonnabend,N,0,0,0
sonne,N,0,0,0
sonnen,V,0,0,0
sonnig,A,0,0,0
sonntag,N,0,0,0
sorge,N,0,0,0
sorgen,N,2,0,0
sorgfalt,N,0,0,0
sorglos,A,0,0,0
sorte,N,0,0,0
souvenir,N,0,0,0
sozialist,N,0,0,0
spalten,V,0,0,0
spannend,A,0,0,0
spannung,N,0,0,0
sparen,V,0,0,0
spargel,N,0,0,0
sparsam,A,0,0,0
spaß,N,0,0,0
spende,N,0,0,0
spenden,V,0,0,0
spesen,N,0,0,0
spezial,N,0,0,0
speziell,A,0,0,0
spicken,V,0,0,0
spiegel,N,0,0,0
spiel,N,0,0,0
spielen,V,0,1,0
spinne,N,0,0,0
spinnen,V,0,0,0
spinner,N,0,0,0
spion,N,0,0,0
spionage,N,0,0,0
spitzel,N,0,0,0
spontan,A,0,0,0
sport,N,0,0,0
spott,N,0,0,0
sprache,N,0,0,0
sprechen,V,0,1,0
sprengen,V,0,0,0
spritze,N,0,0,0
spritzig,A,0,0,0
sprung,N,0,0,0
spucken,V,0,0,0
spuk,N,0,0,0
spuken,V,0,0,0
spule,N,0,0,0
spüren,V,0,0,0
spurlos,A,0,0,0
staat,N,1,0,0
stabil,A,0,1,0
stachlig,A,0,0,0
stamm,N,0,0,0
stammeln,V,0,0,0
stapeln,V,0,0,0
stark,A,0,3,0
stärke,N,1,0,0
stärken,V,0,0,0
starr,A,0,0,0
starre,N,0,0,0
starren,V,0,0,0
stau,N,0,0,0
staub,N,0,0,0
stauchen,V,0,0,0
staunen,V,0,0,0
steak,N,0,0,0
stechen,V,0,0,0
steg,N,0,0,0
stehen,V,0,1,0
stehlen,V,0,0,0
